,AK5,C12orf75,CAMKK1,CD1C,CD38,CHSY1,CLEC10A,CYB561,DDIT4,DHRS13,DTYMK,EPHX2,FKBP4,GHRL,GNG2,GPCPD1,GZMB,ID3,IL13RA1,IL1B,LLGL2,MEGF6,MS4A3,MUM1,NPEPL1,NR1D1,NR1D2,NSUN3,PARP2,PDK1,PER1,PGPEP1,POLH,REM2,SH2D1B,SLPI,STIP1,SYT11,TCN1,TIAM2,ZNF438,target
GSM1371587,8.3794,7.315984,5.764382,9.369092,7.475063,11.350253,7.526646,9.09695,7.70957,9.495903,8.216719,8.689734,9.938342,8.144632,11.039311,4.584071,11.790669,7.677482,10.990297,10.314437,7.564607,6.651509,9.390457,5.574374,8.432842,6.856104,6.890776,8.960934,7.355704,10.248619,6.926223,9.054674,7.396556,10.099078,9.052773,9.855595,8.671958,9.125173,8.684219,6.442021,7.7663,12
GSM1371588,9.573887,8.259312,5.523096,9.568669,7.381103,9.881274,7.779574,9.675006,7.613181,9.652559,8.874107,10.179224,9.896056,7.708797,10.270741,3.635772,11.670899,9.304985,9.237507,9.398149,8.371257,7.781005,10.005544,5.695554,8.585761,7.071016,7.13757,8.609337,8.107248,11.093922,7.32681,9.352121,7.785136,9.169705,7.351948,10.04503,8.547208,9.466931,9.034109,6.939976,7.10635,4
GSM1371589,8.38464,7.872163,5.857764,9.586307,7.446175,10.72907,7.576136,9.572642,7.660442,10.084375,8.576349,9.250246,10.261359,8.856169,10.988969,3.720108,12.242402,8.612104,10.53728,10.62675,8.245389,7.438222,9.51215,5.855202,8.964222,6.838115,6.22213,8.812789,7.60043,10.528793,6.809947,9.062266,7.3549,10.260636,7.230665,11.555476,8.424087,9.027416,8.473516,6.028117,8.692379,12
GSM1371590,9.344368,8.280246,5.396662,9.707577,7.348726,10.589936,8.085669,9.36924,7.160322,9.776146,8.728583,10.188282,10.737171,7.571136,10.375752,3.470572,11.964744,9.480785,10.128747,10.394305,8.068136,6.883978,9.660278,5.634209,8.012329,7.111224,7.103442,8.902277,7.671234,10.627916,7.099046,9.018883,7.91729,9.890537,8.07719,10.314348,8.807082,9.534935,9.476015,7.133213,7.770665,20
GSM1371591,9.084252,8.559915,5.523872,9.673627,7.706493,10.70873,8.182157,9.400204,7.335708,9.818198,8.787225,9.926156,10.548947,8.019894,10.945314,3.593867,12.399288,9.199199,10.40195,10.588766,8.237746,6.754648,9.488355,5.624174,8.215187,7.072982,6.665678,8.978039,7.822429,10.434912,7.146741,9.059117,7.654027,10.027792,8.738866,10.20071,8.741994,9.662462,9.506641,7.229652,7.83896,16
GSM1371592,8.968029,7.782344,5.947725,9.788369,7.24871,10.544163,7.92298,9.886464,7.427578,10.312948,8.871328,9.782948,10.567489,8.589394,10.700177,3.239474,12.048201,8.998204,10.424384,10.449088,8.418794,7.207213,8.66994,5.739816,8.811884,7.166254,6.145433,8.371843,7.775587,10.212658,7.388397,9.386129,7.819969,9.770437,7.476853,11.429068,8.899346,9.083092,7.894236,5.267563,8.578411,0
GSM1371593,9.157284,8.000234,5.412276,9.63787,7.225566,10.745654,7.974412,9.643368,7.310926,9.604049,8.73741,10.157132,10.381967,7.511763,10.38935,3.587493,11.634125,9.243381,10.078205,9.906957,7.927727,7.065473,9.667662,5.753278,7.952781,7.134597,7.476926,8.561254,8.029062,10.815334,7.273012,9.203008,7.663967,10.079359,8.034755,10.024838,8.604918,9.555327,9.038404,7.015586,7.62624,0
GSM1371594,8.992862,8.408985,5.366455,9.444282,7.318721,10.665333,7.756818,9.571023,8.580851,9.598216,8.694071,9.765508,10.481803,7.939693,10.48136,3.429386,12.331722,8.855102,10.819319,10.282185,8.011576,7.241625,9.784069,5.598427,8.101649,7.150798,7.270523,8.702635,7.609552,10.614883,7.723469,9.026791,7.371275,10.078845,8.743284,10.412378,8.821934,9.48317,9.245793,7.732936,7.743875,8
GSM1371595,8.997038,8.233777,6.081314,9.579455,7.498819,10.70955,8.165334,9.33755,7.839825,9.763973,8.314582,10.004793,10.29077,8.160016,10.667381,3.477283,12.432377,8.973828,10.741198,10.562348,8.180468,7.227512,9.221328,5.95502,8.27906,7.198596,6.536952,8.694799,7.416033,10.540796,7.286146,9.279087,7.755739,9.888058,8.348108,10.211806,8.616172,9.58465,9.431825,7.17657,8.002221,8
GSM1371596,9.475019,8.056265,5.48714,9.65363,7.041154,9.862223,7.742099,9.636332,6.690211,9.979334,8.660702,10.395342,10.068818,7.902474,9.896709,3.589602,11.667034,9.440576,9.321901,9.750312,8.394707,7.663846,9.640806,5.572622,8.867783,7.319424,6.650435,8.877268,8.1826,10.996925,7.341615,9.36607,8.082448,9.371399,7.12941,10.084482,8.404761,9.688352,9.107697,7.226183,7.707362,0
