,AK5,C12orf75,CAMKK1,CD1C,CD38,CHSY1,CLEC10A,CYB561,DDIT4,DHRS13,DTYMK,EPHX2,FKBP4,GHRL,GNG2,GPCPD1,GZMB,ID3,IL13RA1,IL1B,LLGL2,MEGF6,MS4A3,MUM1,NPEPL1,NR1D1,NR1D2,NSUN3,PARP2,PDK1,PER1,PGPEP1,POLH,REM2,SH2D1B,SLPI,STIP1,SYT11,TCN1,TIAM2,ZNF438,target
GSM1168586,9.23747650614,9.13059175509,4.43798063627,9.65452610339,7.89614294931,12.1072584026,6.20913635101,9.80792976418,10.0919870314,9.96834667283,8.0977392473,10.0729142108,5.58232514652,10.3386546954,7.7305359025,11.7520455392,13.4985516659,9.6669741397,13.0473059376,12.3059224985,7.90339789633,9.14823758271,6.46432045397,9.15098267105,12.6630294328,8.53513147421,8.27781944387,7.85526573438,8.91382551865,9.76478529391,8.01696157991,9.06367115676,7.42062847665,4.28636240704,6.74818746879,8.70378636144,7.4807258923,6.08120556348,9.0407835613,9.11695410032,10.8291632898,22:15
GSM1168587,9.4856441746,9.18516440302,4.06635719869,9.56186338392,7.65260908505,11.865731726,6.15934016321,10.0082290857,9.23395382808,9.58282961587,7.73396542149,10.2503452475,4.66260796434,10.2128517104,7.58859010672,11.8469335813,12.9308227697,9.67051933101,13.0148032207,12.1277156028,7.79229046837,8.91174675086,6.42852423945,8.90450063804,12.4917865273,9.15983322698,8.72720060817,7.72143009029,9.13486882471,9.60186521539,8.21740780236,8.86910893263,7.54788854329,3.50453175388,5.61510029412,8.54895911644,6.9642065663,5.42430540384,8.68771492566,9.29530570975,10.5794711388,2:10
GSM1168588,9.46549963308,8.99438445152,4.26277314633,9.24238743837,7.70545326229,11.8632933888,5.90009244469,9.81680313546,10.3376041618,9.59892622944,7.84491498795,10.3392878315,4.80063415109,10.4765545202,7.82189536619,11.8767473457,12.7036946906,9.67758837632,12.9716226339,12.070969175,7.82713037792,9.0012099148,6.11175121052,8.64945019814,12.7334209879,9.12491940807,8.65442265031,7.84765452319,8.99462440523,9.95802004583,8.35515513632,9.08410075909,7.59743282612,3.69850791638,6.01995719911,8.66375354242,6.98955865859,5.41826488634,8.55326615971,,10.5251766119,6:15
GSM1168589,8.83732493332,9.12935685328,,9.15346073472,7.64093318439,11.7242588822,6.33718850906,9.65586349415,10.4717284584,9.72668767342,7.94005136398,9.88065136975,5.49771795761,10.7671629096,7.92601041742,11.7856150086,13.0976703247,9.53677341972,13.5723311164,12.0878192371,7.58655744124,8.73030968447,6.69018510211,8.93051269675,12.718621434,8.39628382994,8.7563438206,8.03330632815,8.610183311,9.73031841576,8.46912456768,9.12986357753,7.18952845168,3.87329934075,6.34468118362,8.97505566156,7.22662618948,5.89883797431,8.99535402152,9.13436563173,10.5764924772,10:15
GSM1168590,8.78929829524,9.34166706111,4.97650510371,,7.9882614131,11.9395657282,5.82545763489,9.66213899831,10.2728760041,9.93749431761,8.05586560177,9.91554186039,5.67436867907,10.6592185527,7.99461213904,11.5721068363,13.3433624998,9.50948061898,13.6557023099,12.5220399925,7.47982193443,8.90860303486,6.70446145874,9.1930936777,12.8050745359,,8.59395799488,7.96585255194,8.67939695986,9.69257110429,,9.30417543,7.37050459903,3.93776156321,6.43090169465,8.93583623437,7.19510186356,6.08244976945,8.98724240473,9.23623373674,10.7363896535,14:15
GSM1168591,8.83126512677,9.14275218634,5.15427874246,9.40022763122,8.10445215195,12.227956493,5.90604250929,9.62529029976,10.2807588627,10.0907642697,7.85787743463,9.94831300934,5.42540359074,10.4717284584,8.14810762507,11.8904168987,13.3269982447,9.51053843474,13.1784706717,12.4644806132,7.4807258923,8.85706299188,6.32902897347,8.86189477866,12.7712682459,8.3191540035,8.38850874248,7.92968961641,8.56293741423,9.72830869913,8.19996872212,9.02736598547,7.26872833591,4.36957138568,6.01291881528,8.89452261363,7.24646862797,5.37333074211,9.1346157932,9.18791789313,11.0378053892,18:18
GSM1168592,8.76700695222,9.42697321359,4.54676745488,9.423601387,8.02270734981,11.9203919153,5.74723531413,9.75360737161,9.49331564136,9.92112393101,8.03557155278,9.98372384468,5.68099027345,10.0689236349,8.13980107498,11.6878064975,13.8523984772,9.72551332063,12.8362441945,12.5693447794,7.68936206277,8.6579392589,6.34002664653,9.42439814764,12.6037321348,8.25580555997,,7.6925272656,8.62137553549,9.60323959736,8.05795874471,9.3135905266,7.31067748909,3.89058015966,6.93555211597,8.81077549659,7.55813957447,5.83403671149,8.79813726775,9.11846087499,10.6369059714,22:15
GSM1168593,8.8169700392,,4.82123874295,9.53176312544,7.88219293617,12.3318034487,6.11293725547,9.5917477491,9.7987395692,10.3066570023,8.04254956737,9.80311309951,5.51886824594,10.2936226637,7.96424779038,11.7900202156,13.3679625269,9.58439881403,13.282229556,12.6243789588,7.72588080603,8.90404044349,6.60460518205,9.28413470017,12.5100244542,8.03625302671,8.51138529729,7.85855363702,8.60596162678,9.55783616085,8.18541622258,9.20680677167,7.13686602578,4.03438957559,6.58375542409,9.19683975433,7.5832938531,5.77324007388,9.19038528809,9.17698704819,11.1982622426,22:15
GSM1168594,9.28568139852,9.11171626497,5.25737965775,9.53890018538,7.71233196926,11.891659635,5.60415456287,9.81378514208,9.78829141425,10.3324182095,7.93609012199,10.5702503239,5.33634693743,9.93235455027,8.06632801454,11.8718716785,13.0310982841,9.64454236608,12.5655432144,12.2644614202,7.6816152681,8.77909353921,6.5011348684,9.15792185572,12.4712711265,8.56727024839,8.60111607645,7.86251160671,8.85782289547,9.74429910916,8.21420829554,9.35110829648,7.43322092487,4.80795100685,6.21453582974,9.30941889201,,5.83077198098,8.90496535111,9.12275802868,10.8943553416,2:15
GSM1168595,9.34877929567,9.06590948533,4.40195720362,9.62362125306,7.7459522928,11.7970873417,5.91769928398,9.79272166902,10.0928920731,9.84672780235,8.02436713492,10.0744190716,5.36050431341,10.3827792152,7.50249735437,12.0838072559,13.1784706717,9.50480592781,13.0676536167,12.3021747871,7.73917889669,8.74702092831,6.80589549784,9.05727177546,12.5955988493,8.75373757321,8.66013495607,8.03283530691,9.12762663947,9.82843281995,8.04920082647,9.08342818715,7.61521711005,4.05484727892,6.64962967005,9.22882464625,7.35735147534,5.7202007078,8.8469350758,9.14176083253,10.7348638113,6:15
GSM1168596,9.23774015775,8.99073162032,4.52351932709,9.58021012098,7.75352785426,11.8276192921,5.62613029532,9.70883524306,11.0481578301,9.82980012803,7.97104967945,10.099237079,5.61668367771,10.7601275909,7.53391530743,11.8817393959,13.004392744,9.41991365186,13.4303054318,12.2047661875,7.51415642456,8.83610066554,6.66979125743,8.96145208526,,8.54655393513,8.51725824712,7.97907052854,8.94604568862,9.71647623783,8.33766787982,9.05435035166,7.55044341467,3.65416439026,6.3631515616,9.35981381859,7.34173080596,5.82872384677,8.82559490207,9.1477280998,10.7950011517,10:15
GSM1168597,,9.11646270386,5.128373764,9.40284341379,7.70657578454,11.435888285,5.49984990562,9.70034590994,10.6310036442,9.80877449776,7.8010219728,9.78410638073,5.30595501364,10.5694865527,8.12821412147,11.4596695931,13.4733992945,9.53677341972,13.1995494,12.1773494171,7.78228058262,8.52197176672,6.75428955889,9.13036247016,12.6373842636,8.19146944281,8.3942058562,7.90126052058,8.65323653219,9.37123904796,8.50287052306,9.34243123282,7.12159440005,3.48527402112,6.58491476353,9.43084763963,,5.70440070437,9.12350189972,9.59946367266,10.6284028696,14:11
