,AK5,C12orf75,CAMKK1,CD1C,CD38,CHSY1,CLEC10A,CYB561,DDIT4,DHRS13,DTYMK,EPHX2,FKBP4,GHRL,GNG2,GPCPD1,GZMB,ID3,IL13RA1,IL1B,LLGL2,MEGF6,MS4A3,MUM1,NPEPL1,NR1D1,NR1D2,NSUN3,PARP2,PDK1,PER1,PGPEP1,POLH,REM2,SH2D1B,SLPI,STIP1,SYT11,TCN1,TIAM2,ZNF438,target
GSM969113,8.816578546,8.659421619,5.540967687,9.06967168,9.08482864,12.09638268,6.255888169,9.602861256,10.39629149,10.98763943,8.293148429,10.50365522,5.09238225,10.42392195,8.10089783,11.97957827,13.69145488,9.908246592,13.05859931,12.498312,8.141714792,8.356888461,4.436793326,8.669799321,13.22861617,8.718175311,8.538519523,7.711935083,9.060763796,9.502927259,8.601346177,9.474412708,7.389320782,4.92803676,6.799766934,10.63735838,7.101023853,5.459232081,7.643691102,10.58817613,11.36503953,9:55
GSM969114,8.866494167,8.926841849,5.199181732,9.009237255,8.810977077,12.31214085,5.981885576,9.550994045,10.43848518,11.08910527,8.383035644,10.55875233,5.805053852,10.12404664,8.29047926,12.36886165,13.61016036,9.799092705,12.79710517,12.54610035,7.862791394,7.809810258,4.526994239,8.769869585,13.00443417,8.477692949,8.798022552,7.769325923,9.240644819,9.4762388,8.212547314,9.392177474,8.167575102,5.184492012,6.622834297,10.47236932,7.25569349,6.247528039,7.608193055,10.42087529,11.38421434,12:55
GSM969115,9.009965375,9.01262082,4.842883984,9.609368039,8.958626167,12.74394682,6.30364015,9.520973538,10.29025262,11.49826373,8.507299909,10.6049083,6.324735792,9.890569827,7.782154816,12.17066969,13.90260727,10.14184219,13.09526772,12.98626295,8.25436617,8.489418764,4.978808723,8.786183598,12.80601123,8.447065083,8.882612443,7.876422404,8.913722527,9.576824316,8.411910374,9.483090815,7.301793104,5.606562723,7.368404158,10.90434647,7.406269819,6.121930763,7.841070762,10.57642646,11.61491293,18:55
GSM969116,9.171725254,9.813544613,5.455624231,9.232206936,9.366987053,11.6571278,5.55988722,10.06873836,10.24825967,9.749149868,8.843377149,10.30053345,6.199110339,9.638597145,8.222744229,11.68642771,13.74156177,10.2584173,12.41392045,12.60515911,8.391042058,8.261847842,5.399121064,9.295030955,12.6697515,8.609524983,9.468990994,7.938458222,8.977766461,8.987809922,8.34481453,9.500320366,7.924490933,4.355948243,6.70308889,9.252103033,7.015709343,6.304087545,7.21274594,9.540475783,10.66644013,15:05
GSM969117,9.241949919,9.705285208,4.906528623,9.38729666,9.194356232,11.11708568,5.656209435,10.05396158,10.15317648,9.848696438,8.950580112,10.42123466,6.111008263,9.792073098,8.114483124,11.79340352,13.56078488,10.3976624,12.46013543,12.73900811,8.276814157,8.369221687,5.355645687,9.348276633,12.60242081,8.63253413,9.451380339,7.609296237,9.018055102,9.034684451,8.463336248,9.314189887,7.837357363,4.876700291,6.318822807,9.520709489,7.211862004,6.434338917,7.723119228,9.52122724,10.66605903,18:10
GSM969118,9.358693612,9.402595016,5.430280862,9.152823456,9.344929797,12.3106727,5.426162755,9.958763481,10.14122596,10.82891617,8.975157387,10.32049198,6.120264739,10.0714644,7.845703142,11.7277524,13.34099272,10.30952467,12.94133704,13.20332053,8.399102689,8.894528384,5.396756769,9.377286259,12.63580248,8.677438207,9.36622096,7.811955026,8.737833416,9.03395312,8.370087474,9.426728198,7.822004616,4.976580485,6.568887063,9.981128981,7.444333814,6.301786651,8.026426914,9.580781091,11.24910175,21:12
GSM969119,9.673518178,9.5063108,5.526599046,9.438873626,9.044765649,12.09234514,5.448586194,9.964464325,10.39836444,10.50924729,9.159643693,10.68766095,6.144172788,9.437337815,7.801768403,12.07995888,13.06741605,10.43326413,12.54352059,12.67431247,8.071094873,8.503157894,5.413784081,9.349811841,12.39873814,8.869045202,9.668265231,7.622028601,9.043090243,9.468454923,8.548080426,9.431409509,7.674129344,4.892079247,6.382375186,10.21809157,7.473779251,6.343416702,7.605183261,9.324334681,11.08820284,0:09
GSM969120,9.491409635,9.170520173,5.118933973,9.256581585,9.229049797,12.07391752,5.347274876,9.444335808,10.31777435,10.41981663,8.916798739,10.46927539,5.766115908,9.760059269,7.848522501,12.24157506,12.91527772,10.35887262,12.63495112,12.93721159,7.966274366,8.886416342,5.455098406,9.278773762,12.32024336,8.837572528,9.606348713,7.891200399,9.119561652,9.495939263,8.501322782,9.367496723,7.98449387,4.923905204,6.515174239,10.22715855,7.340414196,6.413725476,7.678972333,9.837795731,11.22165893,3:05
GSM969121,9.221356287,9.226562468,5.53122884,9.154738168,9.374244028,11.92128676,5.753595804,9.675392553,11.18515093,10.48923015,8.853606923,9.910027234,5.546892772,10.57314796,7.862344523,12.60242081,13.55241046,10.15478994,13.64330472,13.22017806,8.21887522,8.579553953,5.27709452,9.130342347,12.63666719,8.706833358,9.095484568,7.838663362,8.958869191,9.295768069,8.829925569,9.195796648,8.083047031,5.075801958,7.060581663,10.75851981,7.286354124,6.802554087,7.868087602,10.43949524,11.25469183,9:05
GSM969122,9.281842726,9.657697566,5.784760865,9.231006617,9.563965356,11.80057928,5.260374796,9.959962135,10.8564662,10.03630676,9.089453884,10.07987983,6.31353522,9.918262649,7.863002308,12.26855579,13.8483704,10.39836444,13.02872748,12.96764351,8.428771864,8.371483609,5.22604487,9.315475134,12.47174482,8.629143637,9.4488274,7.769556984,9.08482864,9.234890276,8.346573407,9.446740646,7.837357363,4.993816942,7.116426125,10.42948014,7.602557608,6.715203956,7.545472534,10.33867491,10.92256237,12:07
